id,kind,parent_figure,panel,runnable,reproduction_level,raw_to_figure_complete,rebuild_derived_supported,pixel_exact_verified,comparison_class,output,reference,limitations
Fig1,full_figure,Fig1,,False,blocked,False,False,False,blocked_full_figure,,reference/Fig1_R1.png,The final four-panel composition and part of the upstream calculation code were not archived.
Fig2,full_figure,Fig2,,False,blocked,False,False,False,blocked_full_figure,,reference/Fig2.png,The final map-plus-six-track composition script and an upstream grid-statistics module were not archived.
Fig3,full_figure,Fig3,,True,analysis-ready numeric tables to exact figure,False,False,True,pixel_exact_accepted_full_figure,outputs/Fig3/Fig3.png,reference/Fig3.png,
Fig4,full_figure,Fig4,,True,analysis-ready numeric tables to recomputed final derivatives to exact figure,False,True,True,pixel_exact_accepted_full_figure,outputs/Fig4/Fig4.png,reference/Fig4.png,
Fig5,full_figure,Fig5,,False,blocked,False,False,False,blocked_full_figure,,reference/Fig5_R1.png,The final R1 multi-source composition was assembled manually and has no archived final script.
Fig6,full_figure,Fig6,,True,analysis-ready numeric tables to recomputed final derivatives to exact figure,False,True,True,pixel_exact_accepted_full_figure,outputs/Fig6/Fig6.png,reference/Fig6.png,
ED1,full_figure,ED1,,True,analysis-ready numeric tables to exact figure,False,False,True,pixel_exact_accepted_full_figure,outputs/ED1/Extended_Data_Fig_01_space_weather_lugre_context_surface_phase.png,reference/Extended_Data_Fig_01_space_weather_lugre_context_surface_phase.png,
ED2,full_figure,ED2,,True,analysis-ready numeric tables to exact figure,False,False,True,pixel_exact_accepted_full_figure,outputs/ED2/Extended_Data_Fig_02_observing_geometry.png,reference/Extended_Data_Fig_02_observing_geometry.png,
ED3,full_figure,ED3,,False,blocked,False,False,False,blocked_full_figure,,reference/Extended_Data_Fig_03_main_lobe_antenna_geometry_R1.png,"The final R1 image is a manual three-part composite, and the source off-boresight table has no archived generator."
ED4,full_figure,ED4,,False,blocked,False,False,False,blocked_full_figure,,reference/Extended_Data_Fig_04_cn0_detrending_op38_e23.png,"The final plotting script calls helper APIs that are absent from every archived helper revision, so the scientific transformation and exact final output cannot be validated."
ED5,full_figure,ED5,,False,blocked,False,False,False,blocked_full_figure,,reference/Extended_Data_Fig_05_polar_validation_diagnostics_R1.png,The final R1 multi-source composition was assembled manually and has no archived final script.
ED6,full_figure,ED6,,True,raw telemetry to validated hybrid observations with explicit processed fallbacks to exact figure,False,True,True,pixel_exact_accepted_full_figure,outputs/ED6/Extended_Data_Fig_06_s_phase_day1_op38_R1.png,reference/Extended_Data_Fig_06_s_phase_day1_op38_R1.png,
ED7,full_figure,ED7,,True,raw telemetry to validated hybrid observations with explicit processed fallbacks to exact figure,False,True,True,pixel_exact_accepted_full_figure,outputs/ED7/Extended_Data_Fig_07_s_phase_day2_op40_R1.png,reference/Extended_Data_Fig_07_s_phase_day2_op40_R1.png,
ED8,full_figure,ED8,,True,raw telemetry to validated hybrid observations with explicit processed fallbacks to exact figure,False,True,True,pixel_exact_accepted_full_figure,outputs/ED8/Extended_Data_Fig_08_s_phase_day3_op74_R1.png,reference/Extended_Data_Fig_08_s_phase_day3_op74_R1.png,
ED9,full_figure,ED9,,True,raw telemetry to validated hybrid observations with explicit processed fallbacks to exact figure,False,True,True,pixel_exact_accepted_full_figure,outputs/ED9/Extended_Data_Fig_09_s_phase_day4_op76_op78_R1.png,reference/Extended_Data_Fig_09_s_phase_day4_op76_op78_R1.png,
Fig1_A,panel,Fig1,A,False,formal-raster reference only,False,False,False,blocked_reference_only,,reference/panels/Fig1/Fig1_A.png,No scientific redraw is claimed.
Fig1_B,panel,Fig1,B,True,analysis-ready grid-cell reproduction,False,False,False,scientific_reproduction_only,outputs/Fig1_B/Fig1_B.png,reference/panels/Fig1/Fig1_B.png,Scientific values and panel semantics are reproduced from the packaged artifact-screened common-grid table; the manually assembled manuscript raster is not claimed to be byte-identical.
Fig1_C,panel,Fig1,C,True,analysis-ready artifact-screened grid-cell reproduction,False,False,False,scientific_reproduction_only,outputs/Fig1_C/Fig1_C.png,reference/panels/Fig1/Fig1_C.png,Scientific values and Robinson-map semantics are reproduced from the packaged artifact-screened grid table; coastline/font rasterization may differ from the manually assembled manuscript raster.
Fig1_D,panel,Fig1,D,True,analysis-ready grid-cell reproduction,False,False,False,scientific_reproduction_only,outputs/Fig1_D/Fig1_D.png,reference/panels/Fig1/Fig1_D.png,Scientific values and Robinson-map semantics are reproduced from the packaged ROTI grid table; coastline/font rasterization may differ from the manually assembled manuscript raster.
Fig2_A,panel,Fig2,A,True,analysis-ready WGS84 point-track reproduction,False,False,False,scientific_reproduction_only,outputs/Fig2_A/Fig2_A.png,reference/panels/Fig2/Fig2_A.png,North-polar tracks and highlighted events are redrawn from packaged WGS84 point data; the package uses its bundled Natural Earth coastline.
Fig2_B,panel,Fig2,B,True,analysis-ready WGS84 point-track reproduction,False,False,False,scientific_reproduction_only,outputs/Fig2_B/Fig2_B.png,reference/panels/Fig2/Fig2_B.png,South-polar tracks and highlighted events are redrawn from packaged WGS84 point data; the package uses its bundled Natural Earth coastline.
Fig2_C1,panel,Fig2,C1,True,analysis-ready numerical inputs to independent panel redraw,False,False,False,scientific_reproduction_only,outputs/Fig2_C1/Fig2_C1.png,reference/panels/Fig2/Fig2_C1.png,"C/N0 samples, WGS84 tangent heights, frequency colours and ionospheric layer context are redrawn from the packaged selected-event point data."
Fig2_C2,panel,Fig2,C2,True,analysis-ready numerical inputs to independent panel redraw,False,False,False,scientific_reproduction_only,outputs/Fig2_C2/Fig2_C2.png,reference/panels/Fig2/Fig2_C2.png,"C/N0 samples, WGS84 tangent heights, frequency colours and ionospheric layer context are redrawn from the packaged selected-event point data."
Fig2_C3,panel,Fig2,C3,True,analysis-ready numerical inputs to independent panel redraw,False,False,False,scientific_reproduction_only,outputs/Fig2_C3/Fig2_C3.png,reference/panels/Fig2/Fig2_C3.png,"C/N0 samples, WGS84 tangent heights, frequency colours and ionospheric layer context are redrawn from the packaged selected-event point data."
